#{"t_start": 1733347425.590669, "env_id": "None"}
r,l,t
0.0,240,88.344303
0.0,240,88.475466
0.0,240,89.460992
0.0,240,89.83788
0.0,240,89.972477
0.0,240,90.106793
0.0,240,90.241461
0.0,240,90.605816
0.0,240,90.7443
0.0,240,90.878266
0.0,240,91.875877
0.0,240,92.019126
0.0,240,92.370841
0.0,240,92.503543
0.0,240,92.637583
0.0,240,92.770382
0.0,240,93.130271
0.0,240,93.260875
0.0,240,93.393782
0.0,240,94.334821
0.0,240,94.740764
0.0,240,94.891539
0.0,240,95.026675
0.0,240,95.164082
0.0,240,95.557828
0.0,240,95.700925
0.0,240,95.839575
0.0,240,96.753019
0.0,240,97.261797
0.0,240,97.391889
0.0,240,97.523578
0.0,240,97.651525
0.0,240,98.004433
0.0,240,98.132655
0.0,240,98.276712
0.0,240,98.414678
0.0,240,99.383368
0.0,240,99.753438
0.0,240,99.88491
0.0,240,100.019488
0.0,240,100.153605
0.0,240,100.506915
0.0,240,100.634165
0.0,240,100.763105
0.0,240,101.671317
0.0,240,102.046614
0.0,240,102.17637
0.0,240,102.316729
0.0,240,102.452811
0.0,240,102.806818
0.0,240,102.937695
0.0,240,103.065781
0.0,240,103.196646
0.0,240,104.362049
0.0,240,104.499501
0.0,240,104.647657
0.0,240,104.790006
0.0,240,105.16035
0.0,240,105.30131
0.0,240,105.432819
0.0,240,105.561373
0.0,240,106.510336
0.0,240,106.893729
0.0,240,107.021618
0.0,240,107.159086
0.0,240,107.286981
0.0,240,107.643252
0.0,240,107.774239
0.0,240,107.907699
0.0,240,108.041812
0.0,240,109.256148
0.0,240,109.409945
0.0,240,109.547631
0.0,240,109.679662
0.0,240,110.033017
0.0,240,110.163114
0.0,240,110.294593
0.0,240,110.443269
0.0,240,111.593058
0.0,240,111.749978
0.0,240,112.051814
0.0,240,112.188899
0.0,240,112.553447
0.0,240,112.686301
0.0,240,112.825232
0.0,240,112.963058
0.0,240,113.107442
0.0,240,114.332429
0.0,240,114.494257
0.0,240,114.641282
0.0,240,114.784445
0.0,240,115.155581
0.0,240,115.31802
0.0,240,115.47196
0.0,240,115.619098
0.0,240,116.048853
0.0,240,117.246203
0.0,240,117.386889
0.0,240,117.526665
0.0,240,117.894142
0.0,240,118.032754
0.0,240,118.168476
0.0,240,118.298695
0.0,240,118.65662
0.0,240,119.632272
0.0,240,119.778039
0.0,240,119.917768
0.0,240,120.292989
0.0,240,120.429305
0.0,240,120.568796
0.0,240,120.704538
0.0,240,120.841125
0.0,240,121.209595
0.0,240,122.150652
0.0,240,122.292987
0.0,240,122.430713
0.0,240,122.788601
0.0,240,122.920496
0.0,240,123.053671
0.0,240,123.188084
0.0,240,123.549286
0.0,240,124.574357
0.0,240,124.72546
0.0,240,124.858416
0.0,240,125.217482
0.0,240,125.351713
0.0,240,125.484076
0.0,240,125.62563
0.0,240,125.986472
0.0,240,126.118333
